sensor_id->1 ,write_counter->1 ,type->soil_humidity ,unit->percentage ,mediana->0 #
sensor_id->2 ,write_counter->2 ,type->soil_humidity ,unit->percentage ,mediana->0 #
sensor_id->3 ,write_counter->2 ,type->atmospheric_humidity ,unit->percentage ,mediana->0 #
sensor_id->4 ,write_counter->0 ,type->atmospheric_humidity ,unit->percentage ,mediana->0 #
sensor_id->5 ,write_counter->2 ,type->atmospheric_humidity ,unit->percentage ,mediana->0 #
sensor_id->6 ,write_counter->2 ,type->atmospheric_humidity ,unit->percentage ,mediana->0 #
sensor_id->7 ,write_counter->1 ,type->atmospheric_temperature ,unit->celsius ,mediana->0 #
sensor_id->8 ,write_counter->2 ,type->atmospheric_temperature ,unit->celsius ,mediana->0 #
sensor_id->9 ,write_counter->2 ,type->atmospheric_temperature ,unit->celsius ,mediana->0 #
sensor_id->10 ,write_counter->0 ,type->atmospheric_temperature ,unit->celsius, ERROR #
